# A tibble: 1,080 x 3
     lifem docsize mdmlosspct
     <int>   <int>      <dbl>
 906    20      50        0.0
 907    20      50        0.0
 908    20      50        0.0
 909    20      50        0.0
 910    20      50        0.0
 911    20      50        0.0
 912    20      50        0.0
 913    30      50        0.0
 914    30      50        0.0
 915    30      50        0.0
 916    30      50        0.0
 917    30      50        0.0
 918    30      50        0.0
 919    30      50        0.0
 920    30      50        0.0
 921    30      50        0.0
 922    30      50        0.0
 923    30      50        0.0
 924    30      50        0.0
 925    30      50        0.0
 926    30      50        0.0
 927    30      50        0.0
 928    30      50        0.0
 929    30      50        0.0
 930    30      50        0.0
 931    30      50        0.0
 932    30      50        0.0
 933    30      50        0.0
 934    30      50        0.0
 935    30      50        0.0
 936    30      50        0.0
 937    50      50        0.0
 938    50      50        0.0
 939    50      50        0.0
 940    50      50        0.0
 941    50      50        0.0
 942    50      50        0.0
 943    50      50        0.0
 944    50      50        0.0
 945    50      50        0.0
 946    50      50        0.0
 947    50      50        0.0
 948    50      50        0.0
 949    50      50        0.0
 950    50      50        0.0
 951    50      50        0.0
 952    50      50        0.0
 953    50      50        0.0
 954    50      50        0.0
 955    50      50        0.0
 956    50      50        0.0
 957    50      50        0.0
 958    50      50        0.0
 959    50      50        0.0
 960    50      50        0.0
 961   100      50        0.0
 962   100      50        0.0
 963   100      50        0.0
 964   100      50        0.0
 965   100      50        0.0
 966   100      50        0.0
 967   100      50        0.0
 968   100      50        0.0
 969   100      50        0.0
 970   100      50        0.0
 971   100      50        0.0
 972   100      50        0.0
 973   100      50        0.0
 974   100      50        0.0
 975   100      50        0.0
 976   100      50        0.0
 977   100      50        0.0
 978   100      50        0.0
 979   100      50        0.0
 980   100      50        0.0
 981   100      50        0.0
 982   100      50        0.0
 983   100      50        0.0
 984   100      50        0.0
 985   200      50        0.0
 986   200      50        0.0
 987   200      50        0.0
 988   200      50        0.0
 989   200      50        0.0
 990   200      50        0.0
 991   200      50        0.0
 992   200      50        0.0
 993   200      50        0.0
 994   200      50        0.0
 995   200      50        0.0
 996   200      50        0.0
 997   200      50        0.0
 998   200      50        0.0
 999   200      50        0.0
1000   200      50        0.0
1001   200      50        0.0
1002   200      50        0.0
1003   200      50        0.0
1004   200      50        0.0
1005   200      50        0.0
1006   200      50        0.0
1007   200      50        0.0
1008   200      50        0.0
1009   300      50        0.0
1010   300      50        0.0
1011   300      50        0.0
1012   300      50        0.0
1013   300      50        0.0
1014   300      50        0.0
1015   300      50        0.0
1016   300      50        0.0
1017   300      50        0.0
1018   300      50        0.0
1019   300      50        0.0
1020   300      50        0.0
1021   300      50        0.0
1022   300      50        0.0
1023   300      50        0.0
1024   300      50        0.0
1025   300      50        0.0
1026   300      50        0.0
1027   300      50        0.0
1028   300      50        0.0
1029   300      50        0.0
1030   300      50        0.0
1031   300      50        0.0
1032   300      50        0.0
1033   500      50        0.0
1034   500      50        0.0
1035   500      50        0.0
1036   500      50        0.0
1037   500      50        0.0
1038   500      50        0.0
1039   500      50        0.0
1040   500      50        0.0
1041   500      50        0.0
1042   500      50        0.0
1043   500      50        0.0
1044   500      50        0.0
1045   500      50        0.0
1046   500      50        0.0
1047   500      50        0.0
1048   500      50        0.0
1049   500      50        0.0
1050   500      50        0.0
1051   500      50        0.0
1052   500      50        0.0
1053   500      50        0.0
1054   500      50        0.0
1055   500      50        0.0
1056   500      50        0.0
1057  1000      50        0.0
1058  1000      50        0.0
1059  1000      50        0.0
1060  1000      50        0.0
1061  1000      50        0.0
1062  1000      50        0.0
1063  1000      50        0.0
1064  1000      50        0.0
1065  1000      50        0.0
1066  1000      50        0.0
1067  1000      50        0.0
1068  1000      50        0.0
1069  1000      50        0.0
1070  1000      50        0.0
1071  1000      50        0.0
1072  1000      50        0.0
1073  1000      50        0.0
1074  1000      50        0.0
1075  1000      50        0.0
1076  1000      50        0.0
1077  1000      50        0.0
1078  1000      50        0.0
1079  1000      50        0.0
1080  1000      50        0.0
