timestamp docsize copies lifem seed lost auditrepairs auditlosses forensics walltime cputime
20140725_104217 50 10 5 103765041 0 86031 0 2 194.226 170.618
20140725_104532 50 10 5 105731136 0 86435 0 7 239.803 175.719
20140725_104517 50 10 5 117661523 0 85942 0 6 282.851 171.414
20140725_104250 50 10 5 141246882 0 86200 0 8 275.886 171.523
20140725_104758 50 10 5 263688301 0 86359 0 9 206.151 170.992
20140725_104600 50 10 5 420477893 0 86349 0 9 208.262 175.173
20140725_104814 50 10 5 50746969 0 86393 0 10 225.677 174.036
20140725_104948 50 10 5 533657980 0 85848 0 12 184.299 167.826
20140725_104313 50 10 5 681028781 0 86595 0 9 279.469 171.413
20140725_104154 50 10 5 919028296 0 86474 0 11 202.949 175.594
20140725_104545 50 10 5 967561224 0 86791 0 11 297.989 171.616
20140726_110313 50 1 10 103765041 3919 0 3608 0 8.909 7.785
20140726_110334 50 1 10 105731136 3882 0 3599 0 9.454 8.143
20140726_110329 50 1 10 117661523 3950 0 3666 0 9.530 8.128
20140726_110319 50 1 10 141246882 3887 0 3585 0 8.955 7.816
20140726_110349 50 1 10 263688301 3899 0 3625 0 9.120 7.893
20140726_110344 50 1 10 420477893 3961 0 3657 0 9.464 8.033
20140726_110354 50 1 10 50746969 3913 0 3633 0 8.940 7.815
20140726_110359 50 1 10 533657980 3953 0 3674 0 8.996 7.863
20140726_110324 50 1 10 681028781 3947 0 3633 0 9.149 7.91
20140726_110308 50 1 10 919028296 3948 0 3654 0 9.035 7.926
20140726_110339 50 1 10 967561224 3948 0 3665 0 9.463 8.003
20140726_110410 50 2 10 103765041 249 8319 455 0 19.801 17.629
20140726_110432 50 2 10 105731136 242 8241 444 0 21.059 18.049
20140726_110426 50 2 10 117661523 248 8312 457 0 21.400 17.956
20140726_110415 50 2 10 141246882 213 8313 395 0 20.462 17.799
20140726_110449 50 2 10 263688301 213 8338 384 0 19.705 17.659
20140726_110444 50 2 10 420477893 236 8160 448 0 20.831 17.596
20140726_110454 50 2 10 50746969 219 8320 394 0 20.272 17.565
20140726_110501 50 2 10 533657980 231 8329 424 0 20.078 17.659
20140726_110421 50 2 10 681028781 223 8433 400 0 21.983 18.159
20140726_110405 50 2 10 919028296 237 8164 438 0 20.122 17.644
20140726_110437 50 2 10 967561224 221 8225 420 0 20.319 17.582
20140726_110513 50 3 10 103765041 6 13127 15 599 30.578 26.879
20140726_110545 50 3 10 105731136 9 13314 24 645 31.737 27.316
20140726_110539 50 3 10 117661523 11 13172 30 627 31.929 27.315
20140726_110518 50 3 10 141246882 14 13153 39 601 30.487 26.677
20140726_110614 50 3 10 263688301 12 13265 33 615 32.976 27.394
20140726_110558 50 3 10 420477893 12 13213 33 646 32.928 27.971
20140726_110616 50 3 10 50746969 15 13333 45 639 33.942 27.518
20140726_110623 50 3 10 533657980 3 13228 6 615 32.753 26.598
20140726_110525 50 3 10 681028781 14 13195 39 658 31.937 27.16
20140726_110507 50 3 10 919028296 13 13205 33 612 30.831 27.066
20140726_110550 50 3 10 967561224 10 13419 27 607 32.689 27.238
20140726_110648 50 4 10 103765041 1 17716 4 31 49.662 37.316
20140726_110717 50 4 10 105731136 0 17763 0 33 51.661 36.379
20140726_110717 50 4 10 117661523 0 17503 0 47 42.081 36.816
20140726_110651 50 4 10 141246882 0 17403 0 28 45.767 36.753
20140726_110800 50 4 10 263688301 1 17519 4 34 42.305 36.644
20140726_110743 50 4 10 420477893 1 17640 4 38 41.140 36.255
20140726_110809 50 4 10 50746969 1 17640 4 47 42.823 36.989
20140726_110821 50 4 10 533657980 2 17558 8 24 42.473 36.551
20140726_110657 50 4 10 681028781 1 17749 0 29 41.049 36.583
20140726_110632 50 4 10 919028296 3 17579 12 38 44.242 37.113
20140726_110739 50 4 10 967561224 0 17437 0 39 40.607 36.082
20140726_110844 50 5 10 103765041 0 21815 0 86 54.239 47.736
20140726_110939 50 5 10 105731136 0 22120 0 97 53.967 46.191
20140726_110917 50 5 10 117661523 0 22144 0 88 59.078 46.146
20140726_110853 50 5 10 141246882 0 22015 0 98 53.257 46.364
20140726_111008 50 5 10 263688301 0 22246 0 89 58.579 47.471
20140726_110955 50 5 10 420477893 0 22150 0 99 54.791 46.301
20140726_111033 50 5 10 50746969 0 22228 0 84 52.502 46.707
20140726_111041 50 5 10 533657980 0 21985 0 87 54.578 47.97
20140726_110857 50 5 10 681028781 0 22080 0 91 57.357 46.285
20140726_110826 50 5 10 919028296 0 22042 0 88 55.238 48.173
20140726_110947 50 5 10 967561224 0 22300 0 104 53.264 47.939
20140726_111108 50 8 10 103765041 0 35192 0 1 91.665 74.007
20140726_111239 50 8 10 105731136 0 35440 0 0 92.253 74.146
20140726_111149 50 8 10 117661523 0 35047 0 1 90.142 73.648
20140726_111126 50 8 10 141246882 0 35157 0 0 82.110 73.726
20140726_111331 50 8 10 263688301 0 35304 0 0 80.670 73.165
20140726_111308 50 8 10 420477893 0 35539 0 3 89.594 73.43
20140726_111351 50 8 10 50746969 0 35244 0 0 97.629 73.273
20140726_111423 50 8 10 533657980 0 35314 0 2 84.977 74.865
20140726_111136 50 8 10 681028781 0 35457 0 2 102.036 73.695
20140726_111053 50 8 10 919028296 0 35227 0 2 100.763 73.741
20140726_111248 50 8 10 967561224 0 35484 0 0 82.452 73.647
20140726_111452 50 10 10 103765041 0 44011 0 0 109.333 94.037
20140726_111642 50 10 10 105731136 0 44594 0 0 118.787 96.548
20140726_111614 50 10 10 117661523 0 43769 0 0 112.230 92.633
20140726_111522 50 10 10 141246882 0 43916 0 0 125.678 95.895
20140726_111750 50 10 10 263688301 0 44105 0 1 114.132 93.476
20140726_111737 50 10 10 420477893 0 44269 0 0 102.243 93.647
20140726_111829 50 10 10 50746969 0 44268 0 0 109.648 92.806
20140726_111905 50 10 10 533657980 0 43965 0 0 102.118 93.257
20140726_111545 50 10 10 681028781 0 44438 0 0 107.171 93.944
20140726_111439 50 10 10 919028296 0 44286 0 0 105.597 94.069
20140726_111706 50 10 10 967561224 0 44367 0 1 120.998 95.644
20140725_182715 50 1 20 103765041 2215 0 2048 0 5.958 4.836
20140725_182739 50 1 20 105731136 2156 0 1957 0 5.939 4.867
20140725_182734 50 1 20 117661523 2215 0 2049 0 6.023 4.852
20140725_182722 50 1 20 141246882 2160 0 1975 0 5.994 4.93
20140725_182756 50 1 20 263688301 2235 0 2070 0 6.019 4.883
20140725_182751 50 1 20 420477893 2224 0 2051 0 6.065 4.976
20140725_182801 50 1 20 50746969 2240 0 2064 0 6.145 4.945
20140725_182806 50 1 20 533657980 2185 0 2019 0 5.976 4.884
20140725_182729 50 1 20 681028781 2199 0 2015 0 6.011 4.914
20140725_182701 50 1 20 919028296 2245 0 2047 0 5.997 4.914
20140725_182746 50 1 20 967561224 2256 0 2105 0 5.986 4.868
20140725_182821 50 2 20 103765041 58 4347 104 0 12.332 10.452
20140725_182843 50 2 20 105731136 65 4373 122 0 12.202 10.483
20140725_182836 50 2 20 117661523 55 4311 102 0 12.413 10.437
20140725_182826 50 2 20 141246882 68 4281 124 0 12.333 10.546
20140725_182859 50 2 20 263688301 54 4388 96 0 12.189 10.468
20140725_182854 50 2 20 420477893 69 4282 124 0 12.191 10.514
20140725_182904 50 2 20 50746969 66 4272 116 0 12.334 10.608
20140725_182911 50 2 20 533657980 68 4361 116 0 12.236 10.483
20140725_182831 50 2 20 681028781 50 4353 94 0 12.657 10.515
20140725_182814 50 2 20 919028296 53 4270 96 0 12.111 10.358
20140725_182849 50 2 20 967561224 60 4278 95 0 12.196 10.483
20140725_182922 50 3 20 103765041 0 6612 0 144 18.402 15.896
20140725_182944 50 3 20 105731136 2 6726 6 170 18.794 16.069
20140725_182939 50 3 20 117661523 1 6751 3 158 18.731 16.193
20140725_182929 50 3 20 141246882 1 6661 3 162 18.513 15.881
20140725_183001 50 3 20 263688301 1 6782 3 165 18.801 16.178
20140725_182956 50 3 20 420477893 1 6748 3 165 18.785 15.912
20140725_183006 50 3 20 50746969 1 6705 3 165 18.745 15.912
20140725_183011 50 3 20 533657980 0 6696 0 164 18.665 16.036
20140725_182934 50 3 20 681028781 1 6664 3 183 18.762 15.975
20140725_182916 50 3 20 919028296 3 6701 9 158 18.291 15.913
20140725_182949 50 3 20 967561224 4 6765 12 157 18.800 16.349
20140725_183022 50 4 20 103765041 0 8906 0 5 25.271 21.403
20140725_183048 50 4 20 105731136 0 8912 0 5 25.328 21.638
20140725_183044 50 4 20 117661523 0 8944 0 6 26.330 21.84
20140725_183029 50 4 20 141246882 0 8895 0 6 26.454 21.98
20140725_183111 50 4 20 263688301 0 8885 0 7 25.952 21.808
20140725_183101 50 4 20 420477893 0 8764 0 3 25.254 21.575
20140725_183116 50 4 20 50746969 0 8868 0 4 26.315 21.934
20140725_183123 50 4 20 533657980 0 8987 0 1 25.953 21.715
20140725_183034 50 4 20 681028781 0 9094 0 6 25.411 21.653
20140725_183017 50 4 20 919028296 0 8869 0 7 26.110 21.809
20140725_183057 50 4 20 967561224 0 8834 0 9 25.561 21.56
20140725_183137 50 5 20 103765041 0 11046 0 10 32.152 27.363
20140725_183210 50 5 20 105731136 0 11210 0 10 32.667 27.254
20140725_183202 50 5 20 117661523 0 11255 0 9 31.836 27.456
20140725_183143 50 5 20 141246882 0 11048 0 16 31.996 27.472
20140725_183235 50 5 20 263688301 0 11264 0 12 34.004 28.485
20140725_183223 50 5 20 420477893 0 11224 0 9 33.236 27.892
20140725_183243 50 5 20 50746969 0 11251 0 7 35.978 28.391
20140725_183249 50 5 20 533657980 0 11059 0 4 33.186 28.313
20140725_183149 50 5 20 681028781 0 11091 0 15 33.217 27.393
20140725_183128 50 5 20 919028296 0 11172 0 11 33.864 28.656
20140725_183216 50 5 20 967561224 0 11367 0 19 32.721 27.363
20140725_183310 50 8 20 103765041 0 17853 0 0 55.482 44.163
20140725_183352 50 8 20 105731136 0 17871 0 0 62.456 43.758
20140725_183345 50 8 20 117661523 0 17708 0 0 72.249 43.977
20140725_183310 50 8 20 141246882 0 17750 0 0 55.728 44.133
20140725_183422 50 8 20 263688301 0 17853 0 0 76.012 44.382
20140725_183418 50 8 20 420477893 0 17868 0 0 50.823 44.102
20140725_183443 50 8 20 50746969 0 17771 0 0 68.637 44.148
20140725_183503 50 8 20 533657980 0 17852 0 1 57.467 43.867
20140725_183323 50 8 20 681028781 0 18009 0 0 54.322 44.07
20140725_183257 50 8 20 919028296 0 17827 0 0 56.765 43.929
20140725_183406 50 8 20 967561224 0 17842 0 0 56.598 44.444
20140725_183511 50 10 20 103765041 0 22293 0 0 78.858 55.614
20140725_183628 50 10 20 105731136 0 22376 0 0 85.202 55.599
20140725_183602 50 10 20 117661523 0 22094 0 0 73.209 55.895
20140725_183533 50 10 20 141246882 0 22201 0 0 77.842 55.256
20140725_183711 50 10 20 263688301 0 22369 0 0 72.517 55.192
20140725_183650 50 10 20 420477893 0 22436 0 0 85.484 55.614
20140725_183722 50 10 20 50746969 0 22230 0 0 80.364 55.146
20140725_183750 50 10 20 533657980 0 22284 0 0 64.354 54.725
20140725_183601 50 10 20 681028781 0 22554 0 0 73.639 55.8
20140725_183509 50 10 20 919028296 0 22377 0 0 71.056 55.505
20140725_183643 50 10 20 967561224 0 22473 0 0 71.343 55.568
20140725_184146 50 1 30 103765041 1544 0 1404 0 4.949 3.884
20140725_184214 50 1 30 105731136 1511 0 1395 0 4.911 3.854
20140725_184207 50 1 30 117661523 1546 0 1407 0 4.949 3.9
20140725_184153 50 1 30 141246882 1520 0 1407 0 4.952 3.869
20140725_184234 50 1 30 263688301 1559 0 1423 0 4.959 3.868
20140725_184226 50 1 30 420477893 1570 0 1431 0 4.929 3.885
20140725_184238 50 1 30 50746969 1577 0 1438 0 4.934 3.869
20140725_184246 50 1 30 533657980 1498 0 1368 0 4.961 3.869
20140725_184200 50 1 30 681028781 1544 0 1395 0 4.935 3.869
20140725_184139 50 1 30 919028296 1578 0 1463 0 4.996 3.806
20140725_184221 50 1 30 967561224 1597 0 1456 0 4.954 3.837
20140725_184258 50 2 30 103765041 24 2951 43 0 9.887 8.127
20140725_184319 50 2 30 105731136 22 2966 32 0 9.991 8.221
20140725_184313 50 2 30 117661523 25 2956 49 0 10.185 8.19
