family specific logdir docsize berid copies logfilename timestamp lost
q0 v2d5 logb0002 5 0002 05 c05b0002s919028296.log 20140615_185647 4
q0 v2d5 logb0002 5 0002 05 c05b0002s967561224.log 20140615_185955 3
q0 v2d5 logb0002 5 0002 08 c08b0002s103765041.log 20140616_172417 0
q0 v2d5 logb0002 5 0002 08 c08b0002s105731136.log 20140616_172450 0
q0 v2d5 logb0002 5 0002 08 c08b0002s117661523.log 20140616_172416 0
q0 v2d5 logb0002 5 0002 08 c08b0002s141246882.log 20140616_172358 0
q0 v2d5 logb0002 5 0002 08 c08b0002s263688301.log 20140616_172845 0
q0 v2d5 logb0002 5 0002 08 c08b0002s420477893.log 20140616_172841 0
q0 v2d5 logb0002 5 0002 08 c08b0002s50746969.log 20140616_172849 0
q0 v2d5 logb0002 5 0002 08 c08b0002s533657980.log 20140616_172913 0
q0 v2d5 logb0002 5 0002 08 c08b0002s681028781.log 20140616_172435 0
q0 v2d5 logb0002 5 0002 08 c08b0002s919028296.log 20140616_172342 0
q0 v2d5 logb0002 5 0002 08 c08b0002s967561224.log 20140616_172815 0
q0 v2d5 logb0003 5 0003 01 c01b0003s103765041.log 20140614_235942 1491
q0 v2d5 logb0003 5 0003 01 c01b0003s105731136.log 20140615_000005 1498
q0 v2d5 logb0003 5 0003 01 c01b0003s117661523.log 20140615_000001 1513
q0 v2d5 logb0003 5 0003 01 c01b0003s141246882.log 20140614_235950 1513
q0 v2d5 logb0003 5 0003 01 c01b0003s263688301.log 20140615_000021 1574
q0 v2d5 logb0003 5 0003 01 c01b0003s420477893.log 20140615_000015 1550
q0 v2d5 logb0003 5 0003 01 c01b0003s50746969.log 20140615_000025 1582
q0 v2d5 logb0003 5 0003 01 c01b0003s533657980.log 20140615_000030 1547
q0 v2d5 logb0003 5 0003 01 c01b0003s681028781.log 20140614_235955 1499
q0 v2d5 logb0003 5 0003 01 c01b0003s919028296.log 20140614_235935 1543
q0 v2d5 logb0003 5 0003 01 c01b0003s967561224.log 20140615_000012 1540
q0 v2d5 logb0003 5 0003 02 c02b0003s103765041.log 20140615_000106 241
q0 v2d5 logb0003 5 0003 02 c02b0003s105731136.log 20140615_000131 240
q0 v2d5 logb0003 5 0003 02 c02b0003s117661523.log 20140615_000124 232
q0 v2d5 logb0003 5 0003 02 c02b0003s141246882.log 20140615_000113 245
q0 v2d5 logb0003 5 0003 02 c02b0003s263688301.log 20140615_000210 254
q0 v2d5 logb0003 5 0003 02 c02b0003s420477893.log 20140615_000205 247
q0 v2d5 logb0003 5 0003 02 c02b0003s50746969.log 20140615_000220 240
q0 v2d5 logb0003 5 0003 02 c02b0003s533657980.log 20140615_000227 259
q0 v2d5 logb0003 5 0003 02 c02b0003s681028781.log 20140615_000119 237
q0 v2d5 logb0003 5 0003 02 c02b0003s919028296.log 20140615_000100 251
q0 v2d5 logb0003 5 0003 02 c02b0003s967561224.log 20140615_000159 244
q0 v2d5 logb0003 5 0003 03 c03b0003s103765041.log 20140615_000320 26
q0 v2d5 logb0003 5 0003 03 c03b0003s105731136.log 20140615_000352 37
q0 v2d5 logb0003 5 0003 03 c03b0003s117661523.log 20140615_000344 29
q0 v2d5 logb0003 5 0003 03 c03b0003s141246882.log 20140615_000323 37
q0 v2d5 logb0003 5 0003 03 c03b0003s263688301.log 20140615_000446 41
q0 v2d5 logb0003 5 0003 03 c03b0003s420477893.log 20140615_000442 40
q0 v2d5 logb0003 5 0003 03 c03b0003s50746969.log 20140615_000455 35
q0 v2d5 logb0003 5 0003 03 c03b0003s533657980.log 20140615_000510 36
